Species,Area, startbio, startbio,interbio[1], interbio[2], finalbio[1], finalbio[2],min(yr), max(yr), max(ct), ct[1], ct[nyr], length(r), exp(mean(log(r))),sd(log(r)), min(r), quantile005r,quantile025r, median(r), quantile075r,quantile095r, max(r), exp(mean(log(k))), sd(log(k)),min(k), quantile(k, quantile(k, mediank,quantilek75, quantilek95), maxk,expmeanlog(msy))), sd(log(msy)), min(msy),quantile05msy, quantilemsy25, median(msy),quantilemsy75, quantilemsyr95, max(msy)
Centrolabrus exoletus,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,69,0,46,2526,0.820078809,0.14056676,0.551145982,0.627741428,0.747453499,0.839827212,0.923899578,0.985203862,0.999912475,196.724784,0.074016244,160.2782639,170.673518,187.1848766,199.3062803,209.3602915,216.4962234,218.0145958,40.33245662,0.118838507,29.99437246,33.10224399,37.1762622,40.14091651,43.97415571,49.16900644,53.95805281
Percarina demidoffi,Mediterranean and Black Sea,0.5,0.9,0,1,0.01,0.4,1950,2012,202,0,0,355,0.650160344,0.16915619,0.501487098,0.523310373,0.564803251,0.632093304,0.730779919,0.905088139,0.998688422,227.2567448,0.022481181,214.6779835,217.5036711,223.6574596,228.5593304,231.6505183,233.5172686,234.0983178,36.93833081,0.146991201,29.25968411,30.50529475,32.81852871,36.03810504,40.84093908,49.17207444,53.59910417
Caproidae,"Atlantic, Southeast",0.5,0.9,0,1,0.01,0.4,1950,2012,144,0,0,1015,0.693284489,0.159495735,0.503699303,0.548398171,0.613761074,0.67597881,0.774193054,0.933601594,0.999169389,162.5398218,0.0327059,151.5874487,153.4133311,158.425585,163.2795706,167.194667,170.0534902,170.6830409,28.17158434,0.129179932,21.48504521,23.1598769,25.63961107,27.80430266,30.70882679,35.79022989,37.99603068
Scorpaenidae,"Atlantic, Western Central",0.5,0.9,0,1,0.01,0.4,1950,2012,282,0,0,866,0.707446223,0.205113764,0.5000203,0.5159748,0.590403201,0.707987446,0.843556501,0.9665396,0.998690755,283.8633707,0.00331899,282.1333485,282.3388666,283.0667113,283.9070908,284.6680305,285.3191246,285.4984489,50.2045174,0.205097578,35.40431275,36.66216778,41.9329541,50.19973958,59.83638965,68.60987504,71.09588635
Archosargus rhomboidalis,"Atlantic, Western Central",0.5,0.9,0,1,0.01,0.4,1950,2012,115,0,21,460,0.672205706,0.147823622,0.525411475,0.558859157,0.597350889,0.646885917,0.742891434,0.901514409,0.993734231,152.4520067,0.039054868,137.9523298,141.3256822,148.4039119,153.9348873,157.6074903,159.858844,160.4984729,25.61977721,0.109389064,21.08193486,22.25396775,23.54728773,24.9387185,27.46139108,31.86557322,34.27198809
Lepidorhombus boscii,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,54,0,24,1199,0.738924826,0.156887283,0.526475695,0.576355203,0.652230115,0.73285804,0.838974801,0.95944304,0.999720446,147.6412619,0.085215274,121.3166436,127.1946689,138.2166393,148.7843141,159.0092537,166.1629267,167.8356682,27.27394842,0.080179984,21.99894344,23.58104315,25.79031688,27.49770635,29.10413774,30.63070813,31.66515527
Harengula thrissina,"Pacific, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,169,0,0,656,0.701534905,0.157604069,0.518267814,0.551782937,0.62171943,0.686451582,0.788052845,0.930403376,0.999873656,284.4366115,0.024298064,267.7079284,271.6830222,279.5987812,285.845657,290.367689,293.5809775,294.2541301,49.88555277,0.134133261,38.10930352,40.39567751,45.17319331,49.14322224,55.07108135,63.23224719,67.17615791
Liza saliens,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,26,0,15,2576,0.794420626,0.152225271,0.529222402,0.604648019,0.707868723,0.812679446,0.902728561,0.980804251,0.999897536,55.51974985,0.117335545,40.98210342,45.10061298,50.83447125,56.11074299,61.22556944,65.68985823,66.8596024,11.0265086,0.10031833,8.844516933,9.438071141,10.20127828,10.96101327,11.93240418,13.05629722,13.85736146
Ariomma indica,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,128,0,25,1367,0.744250196,0.146822321,0.542232232,0.586143606,0.669836611,0.731365304,0.834752268,0.953998433,0.999988632,207.8643433,0.064034303,178.9404252,185.3347994,197.7713736,209.9923651,219.1903975,226.7492144,228.5254141,38.67576954,0.090579161,30.83372659,32.86465657,36.29224507,39.01249213,41.35918369,44.49018456,46.48811902
Spicara smaris,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,203,0,183,2139,0.802642801,0.163611349,0.500962188,0.58343369,0.717411053,0.827823342,0.92280249,0.98662879,0.999950635,448.4706314,0.034382519,408.1022087,420.1117233,437.6639374,451.2521725,461.5009678,468.4053498,470.2539969,89.99043094,0.148483634,58.79609245,67.7057909,81.35163181,92.35170979,101.2110936,109.930232,116.8941685
