Species,Area, startbio, startbio,interbio[1], interbio[2], finalbio[1], finalbio[2],min(yr), max(yr), max(ct), ct[1], ct[nyr], length(r), exp(mean(log(r))),sd(log(r)), min(r), quantile005r,quantile025r, median(r), quantile075r,quantile095r, max(r), exp(mean(log(k))), sd(log(k)),min(k), quantile(k, quantile(k, mediank,quantilek75, quantilek95), maxk,expmeanlog(msy))), sd(log(msy)), min(msy),quantile05msy, quantilemsy25, median(msy),quantilemsy75, quantilemsyr95, max(msy)
Ammodytes spp,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,971,0,711,3000,0.801311068,0.152421627,0.518555626,0.60366323,0.721017746,0.822893571,0.911812646,0.979448807,0.999955222,3212.10673,0.10671246,2388.747279,2633.510429,2981.972283,3269.439921,3513.170428,3695.283454,3739.243612,643.4741682,0.129132061,484.2742263,528.7409257,584.1188521,635.9476901,704.0198877,814.9761928,879.0339125
Decapterus spp,"Atlantic, Western Central",0.5,0.9,0,1,0.01,0.4,1950,2012,656,0.1,244,2341,0.838882881,0.160031342,0.556235277,0.62120588,0.748855834,0.855703199,0.954331461,1.053468457,1.082763396,1522.71874,0.073646413,1250.756727,1330.785411,1439.65285,1538.594777,1621.014641,1680.137538,1693.811831,319.3456706,0.115451233,234.4317614,256.497319,295.2766211,323.8953249,350.1273473,375.6394161,395.7063744
Pomadasys stridens,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,1479,0,938,2589,0.807607777,0.141828575,0.552565643,0.620950472,0.727805243,0.828334612,0.903538011,0.981883357,0.999981947,3947.119148,0.104908263,2975.780928,3258.487197,3655.855582,4014.602163,4306.242891,4537.63141,4597.626131,796.9310299,0.109460513,627.3125494,672.3831063,732.1039403,789.564964,865.1809697,966.3567851,1006.280396
Dicologlossa cuneata,"Atlantic, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,1695,0,6,273,0.654470112,0.164348345,0.514611763,0.533003869,0.569897873,0.633893665,0.736440027,0.882335812,0.989499761,4286.787307,0.085391521,3420.133505,3666.030991,4041.590297,4361.58018,4621.113945,4751.904521,4783.193883,701.3935427,0.079475199,613.3482275,628.4485783,656.7543856,689.2315973,743.5963588,808.5543049,846.0553215
Atherinidae,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,1078,0,261,305,0.624743533,0.128591254,0.522382013,0.535899628,0.564141497,0.610903525,0.673523266,0.801657856,0.930418765,1997.009367,0.083326938,1581.148158,1702.86872,1905.086819,2028.903683,2144.593401,2215.345251,2229.871864,311.9046717,0.046217044,290.5307288,294.533995,301.587975,309.3428792,319.4585755,341.2794094,367.7824793
Oligoplites refulgens,"Pacific, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,3704,0,662,685,0.685803345,0.165154403,0.501737145,0.543458028,0.602276595,0.673889964,0.76571518,0.936816795,0.999381374,6976.691361,0.035689993,6382.840788,6496.883748,6812.601502,7035.228252,7190.992855,7302.346734,7327.352383,1196.159567,0.130762229,918.7833641,982.874684,1079.116764,1187.512576,1308.478295,1517.887485,1595.301022
Labridae,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,692,0,557,2815,0.796268123,0.144209909,0.533832951,0.608701625,0.721394867,0.808902009,0.896489401,0.978000036,0.999479119,2827.293033,0.112156968,2080.544034,2289.793598,2606.975801,2866.000684,3107.495158,3298.187123,3344.428167,562.8208287,0.106387471,444.7587485,478.2270431,518.4610588,557.2238669,611.0111871,676.8891533,699.169691
Gadiculus argenteus,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,4153,0,553,1194,0.760451274,0.135069867,0.552504163,0.61393457,0.687114371,0.755242327,0.83688268,0.957073664,0.999791456,6229.283344,0.041641773,5615.369151,5778.315509,6042.496153,6263.902011,6457.514374,6594.257235,6631.032224,1184.266613,0.098549684,915.5862997,999.3915363,1101.850185,1188.642562,1274.622707,1384.050988,1440.478415
Monacanthidae,"Indian Ocean, Eastern",0.5,0.9,0,1,0.01,0.4,1950,2012,960,0,400,460,0.703876668,0.157881478,0.540475975,0.571125983,0.617952424,0.682366211,0.786933791,0.946561163,0.997647612,2817.973845,0.100864485,2242.818009,2329.929355,2618.844418,2879.941578,3064.232838,3210.724489,3247.034001,495.8765101,0.058988478,436.7171608,453.3487966,474.4900867,492.6442287,517.9759097,550.52281,562.8922389
Lethrinus borbonicus,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,1127,0,1045,3044,0.81079,0.149833861,0.535698961,0.607471749,0.733088138,0.832418202,0.919123646,0.985096878,0.999914524,4000.553543,0.110532259,2948.792916,3245.599481,3690.355757,4080.810232,4398.455958,4619.005401,4670.179804,810.9022013,0.134303419,624.9015377,668.8456419,730.8036307,797.3792684,890.9095976,1035.744717,1163.624461
Menidia menidia,"Atlantic, Northwest",0.5,0.9,0,1,0.3,0.7,1950,2012,702,150,408,2421,0.78597821,0.155278975,0.527738647,0.597083937,0.703999554,0.794940073,0.891815651,0.992971389,1.02255588,2317.43012,0.128955344,1675.254784,1842.894888,2103.866627,2348.015743,2591.204386,2782.137932,2831.041333,455.362394,0.089386293,372.4355957,395.4410206,424.7663412,452.2982719,489.5908478,527.3358655,542.4777625
Hemiramphus brasiliensis,"Atlantic, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,610,0,363,2070,0.784537257,0.140348625,0.552542103,0.622428957,0.707305276,0.783110411,0.882728618,0.973405211,0.99993016,2313.883831,0.123872276,1709.94745,1877.429542,2102.364904,2338.057377,2570.485444,2774.368203,2848.101963,453.8320186,0.069388963,389.8265259,407.0695409,428.6775169,453.6808376,480.2211031,508.3827299,516.1401013
Diplodus annularis,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,1941,0,1463,2631,0.817822808,0.144881695,0.545263748,0.618692761,0.742518105,0.839624828,0.922789121,0.984224004,0.999994896,6764.500079,0.094993911,5208.777712,5672.873484,6322.213078,6882.805041,7339.082485,7664.967419,7729.31418,1383.040613,0.122400892,1047.850057,1140.868051,1266.384307,1372.019834,1510.733876,1719.61155,1828.897136
Caesionidae,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,2552,0,2552,2866,0.803958662,0.155742194,0.517312108,0.599844391,0.719296861,0.826971751,0.918424033,0.98458673,0.999936408,8133.007624,0.088643232,6272.549718,6870.036607,7663.885188,8265.70726,8771.322974,9120.967114,9192.762301,1634.650481,0.135110952,1183.78678,1314.485228,1486.201354,1618.207663,1797.339423,2075.557401,2266.833495
Spicara maena,Mediterranean and Black Sea,0.5,0.9,0,1,0.01,0.4,1950,2012,895,0,319,707,0.725888203,0.160553725,0.536351593,0.576107731,0.635384685,0.717888692,0.822143098,0.958219384,0.999770652,3353.456526,0.119710912,2587.382177,2710.586289,3060.742316,3415.423896,3702.258135,3964.812054,4013.627258,608.5586329,0.04616057,538.1788439,563.0621739,588.4396791,610.1314808,630.8705042,652.4198611,665.4974311
Stromateus brasiliensis,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,2596,0,1568,2875,0.812315508,0.150578019,0.531084915,0.613649602,0.733210295,0.833418982,0.922263347,0.98693034,0.999994991,8588.050886,0.08638804,6768.241094,7289.29573,8089.538275,8725.054132,9219.302116,9618.951057,9700.559875,1744.05173,0.128824817,1280.026772,1411.29009,1592.092122,1732.286413,1916.445158,2169.759774,2408.687449
Atule mate,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,1723,0,1350,2848,0.810300514,0.149266744,0.541219179,0.609001434,0.732252201,0.828462144,0.921663442,0.985188059,0.999734893,5445.785973,0.110045803,4009.603334,4435.542678,5035.489217,5555.379268,5992.875318,6275.218862,6343.643872,1103.180794,0.133367988,852.5128274,908.954647,995.284438,1085.031928,1208.291351,1414.833487,1566.62518
Cheilodactylus variegatus,"Pacific, Southeast",0.5,0.9,0,1,0.3,0.7,1950,2012,964,0,701,2953,0.793510977,0.15458311,0.526986599,0.599831166,0.706709449,0.811764721,0.903389503,0.981461997,0.99988636,2478.567359,0.116173396,1797.775079,2000.664103,2283.050124,2524.725688,2731.314102,2900.275312,2947.701363,491.692602,0.120325266,385.1244022,410.6520215,447.1343166,486.4791729,537.9124048,606.2326506,647.4867437
Peprilus paru,"Atlantic, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,1463,0,444,1744,0.740001909,0.167914641,0.500571597,0.559441852,0.653948308,0.738962319,0.848522024,0.961371853,0.999854406,4319.57554,0.088764823,3492.825413,3690.411665,4027.493688,4367.320787,4668.945091,4881.009795,4930.859711,799.1235361,0.094225489,615.1659435,669.3499471,751.7100144,811.0824563,861.2148925,909.587434,943.3373782
Stromateidae,"Atlantic, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,993,32,601,879,0.723996404,0.15601526,0.534904403,0.578402307,0.636701238,0.712024865,0.813085455,0.954162543,1.013684418,3134.769596,0.142181295,2292.539178,2424.399025,2830.94882,3173.806284,3532.338107,3814.898212,3879.726564,567.3904791,0.030198695,518.8207059,536.200138,555.6933922,570.0256865,581.4938879,591.1589615,595.8408446
Tetraodontidae,"Atlantic, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,4641,0,4641,2922,0.81339455,0.142398513,0.547265312,0.621588337,0.737099587,0.829818226,0.918239973,0.982643114,0.999868109,8291.516334,0.078407751,6781.825304,7182.038506,7819.573054,8395.322103,8859.18817,9204.389104,9284.039685,1686.06855,0.126845733,1269.507704,1375.326452,1531.369754,1679.466281,1843.082847,2096.033601,2301.02911
Rhabdosargus haffara,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,2580,0,1557,2577,0.791910456,0.14634866,0.532381993,0.609897784,0.714003216,0.803641865,0.895340089,0.976810563,0.999813623,8325.899548,0.107240094,6304.107223,6884.469351,7683.441723,8419.413816,9120.670686,9683.883209,9821.11223,1648.341727,0.096608694,1303.768041,1407.182507,1536.221631,1638.019427,1779.17317,1932.412003,1990.70015
Epinephelus merra,"Pacific, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,4249,0,3579,2879,0.809580444,0.150358167,0.527458449,0.611853355,0.729621783,0.831882837,0.918084453,0.984664078,0.999899387,11405.26411,0.091513061,8841.555971,9615.057284,10683.56825,11607.40291,12318.03607,12838.46322,12932.09051,2308.369697,0.129953616,1704.561873,1883.586272,2095.96534,2289.038113,2531.591545,2907.436248,3197.689614
Decapterus russelli,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,2327,0,1250,2751,0.803406392,0.143194775,0.546981495,0.62171672,0.722818226,0.818341474,0.902518615,0.981626254,0.99993718,5717.644754,0.113513941,4158.361422,4637.684743,5286.911552,5813.175171,6267.142495,6681.194396,6799.877564,1148.398085,0.109352109,923.141766,980.2772721,1051.715801,1132.471058,1245.261762,1397.384322,1462.594587
Amblygaster sirm,"Indian Ocean, Eastern",0.5,0.9,0,1,0.3,0.7,1950,2012,13402,0,13402,1637,0.797139671,0.155511151,0.525518291,0.598747178,0.710064378,0.815340724,0.909188345,0.982400532,0.999923342,19972.20998,0.014855437,19208.14551,19438.36198,19748.84417,20013.22113,20225.11864,20376.04508,20417.36042,3980.160225,0.149126445,2681.706737,3034.288753,3560.843362,4062.452222,4518.865435,4872.600058,5084.849588
Epinephelus merra,"Indian Ocean, Eastern",0.5,0.9,0,1,0.3,0.7,1950,2012,3713,0,3083,2938,0.820004308,0.141428009,0.556833573,0.625289814,0.742351804,0.840440363,0.924169062,0.983520305,0.999800302,11008.52959,0.097021782,8415.141659,9137.509109,10300.7877,11215.97215,11937.48553,12462.60317,12609.88382,2256.760422,0.124995444,1734.07646,1864.158297,2057.640877,2225.683088,2479.634675,2813.837494,3141.771155
Selene peruviana,"Pacific, Southeast",0.5,0.9,0,1,0.01,0.4,1950,2012,6289,0,186,1062,0.722734322,0.162473212,0.517170452,0.56570723,0.635808056,0.713932529,0.821224353,0.955461133,0.998727691,14035.5289,0.056132038,12366.65812,12669.31148,13437.67925,14134.82611,14744.43093,15106.88403,15188.1129,2535.989615,0.109573849,1960.276388,2111.931273,2343.449778,2530.520877,2763.70057,3024.538035,3127.625736
Diapterus auratus,"Atlantic, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,2592,0,1054,728,0.705509922,0.167878324,0.520470881,0.556589292,0.612460938,0.691791215,0.802709663,0.948891414,0.999821344,9057.380917,0.110912257,7047.182995,7367.95283,8339.692645,9241.255575,9950.896458,10482.07659,10594.36856,1597.518026,0.061985466,1371.076966,1436.914316,1530.800417,1603.691852,1679.054064,1755.10717,1798.203493
Argentina sphyraena,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,6150,0,3132,2225,0.776984037,0.145990593,0.534387256,0.599317216,0.699706068,0.787726343,0.869789546,0.969749662,0.999411746,13384.69403,0.073156168,11221.08383,11782.55167,12644.84435,13493.79113,14278.54144,14837.74506,14954.835,2599.923401,0.096172409,1996.854147,2168.002752,2424.475258,2642.08052,2808.711483,2957.211451,3066.212504
Gerres nigri,"Atlantic, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,3872,0,1916,1269,0.749162086,0.154421726,0.538725829,0.584345082,0.663271548,0.742076907,0.850132528,0.967567422,0.999318496,10890.39818,0.090905013,8912.17802,9305.03904,10113.72584,11021.12155,11804.16858,12377.33231,12514.86495,2039.668356,0.073613346,1678.612521,1779.671797,1942.718631,2056.104012,2162.250355,2264.196938,2342.674852
Pagellus acarne,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,1322,0,804,1513,0.733687551,0.160551569,0.519880172,0.576736798,0.6455358,0.721730686,0.835628864,0.961957906,0.999325221,5620.759795,0.148891056,4083.432589,4356.274691,4994.775287,5696.032987,6404.756309,6928.280057,7056.263993,1030.970371,0.045947305,911.8222822,954.1333871,997.3872961,1032.070616,1070.858917,1105.165601,1127.714183
Mugil curema,"Atlantic, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,4231,0,3070,2581,0.804645989,0.142943373,0.535717343,0.612332751,0.731071787,0.82215679,0.8990649,0.981059292,0.999796006,15463.29854,0.096483263,11762.43782,12917.05268,14457.24547,15674.15034,16752.4251,17652.53914,17854.61548,3110.620286,0.110168741,2387.425128,2603.241477,2868.68111,3092.640865,3390.459321,3750.302999,3898.067583
Bregmaceros mcclellandi,"Indian Ocean, Eastern",0.5,0.9,0,1,0.3,0.7,1950,2012,4596,0,2829,2711,0.814655178,0.145658437,0.549089363,0.619804486,0.739479321,0.83453442,0.923200738,0.986064341,0.999946862,12576.97196,0.082635244,9997.74894,10775.70843,11828.79893,12790.3494,13486.53839,14005.46731,14122.20283,2561.473831,0.124067791,1920.457879,2096.40364,2344.638206,2545.177054,2796.149121,3168.983903,3500.346246
Monacanthidae,"Pacific, Southeast",0.5,0.9,0,1,0.01,0.4,1950,2012,8487,0,21,91,0.655621766,0.175560499,0.523493558,0.534246029,0.569958474,0.628931661,0.721462966,0.934779862,0.981689675,18527.38934,0.070866088,15592.7002,15960.19847,17894.56022,18888.63571,19591.65821,20035.31832,20131.51965,3036.739932,0.104902945,2629.849491,2669.480366,2791.059011,2964.706863,3226.937626,3729.817907,3826.798197
Encrasicholina punctifer,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,5336,0,338,1151,0.722554864,0.166185931,0.517676395,0.56498572,0.630671036,0.710146134,0.825490472,0.960062075,0.997834417,14648.89553,0.094757507,11809.1491,12313.61588,13564.72582,14886.04216,15919.25162,16615.74483,16815.87178,2646.157678,0.078823904,2168.277236,2304.070074,2494.13002,2660.020363,2817.303896,2975.808252,3074.035576
Etrumeus teres,"Pacific, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,7933,0,7933,3033,0.801246647,0.15515185,0.525454839,0.599034284,0.719413958,0.821009044,0.914873969,0.982644802,0.999825795,17458.33531,0.074487167,14250.30701,15245.44868,16548.78593,17662.04983,18602.27033,19287.01433,19430.00466,3497.108157,0.133925197,2542.681982,2798.280083,3169.8206,3504.32873,3845.016681,4360.627736,4834.46439
Cynoscion jamaicensis,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,3393,0,3301,2873,0.804867697,0.144146033,0.537085718,0.617898836,0.726013238,0.82083439,0.908167987,0.98033921,0.999974741,14473.73796,0.110664011,10706.10169,11790.61914,13365.6931,14743.85152,15871.21463,16796.78495,17075.85023,2912.361035,0.115003538,2274.615974,2460.047056,2653.898042,2886.67019,3166.713806,3584.29064,3762.383237
Scorpaenidae,"Pacific, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,3410,0,1108,208,0.658977872,0.145862956,0.542004696,0.549638577,0.581159902,0.64349509,0.728985675,0.8723919,0.949982953,11314.12757,0.104327661,8650.670412,9234.850879,10528.31618,11585.06259,12372.49415,12824.88997,12904.93681,1863.939928,0.04196915,1739.945135,1757.177197,1799.605172,1854.756455,1920.787357,2010.991304,2054.497355
Eutrigla gurnardus,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,2015,0,1116,2806,0.799271766,0.145014252,0.540739523,0.61473066,0.718176361,0.81745048,0.898037966,0.978444451,0.99977575,6246.517359,0.117849925,4499.216277,5013.917182,5735.378925,6343.201708,6897.220274,7326.015284,7440.929894,1248.16624,0.115728652,998.489665,1055.278359,1133.161759,1233.019634,1367.904928,1527.613349,1586.860413
Engraulidae,"Atlantic, Western Central",0.5,0.9,0,1,0.01,0.4,1950,2012,2140,0,46,107,0.675227605,0.16888287,0.540620231,0.549487296,0.586470977,0.663610686,0.767759172,0.922104771,0.970743998,7111.589064,0.138917294,5252.622843,5486.194861,6409.833764,7234.398738,7986.474018,8404.700466,8441.382255,1200.485312,0.030331763,1140.657738,1150.922276,1170.828151,1197.937615,1229.074406,1264.903321,1274.738024
Trisopterus luscus,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,1339,500,974,1422,0.831863534,0.192069861,0.544336016,0.609962815,0.713844206,0.832622492,0.96709328,1.204718141,1.318149481,4868.563204,0.164466071,2896.991322,3653.681829,4342.107274,4942.9173,5588.894837,6132.948976,6288.143032,1012.495048,0.079650084,851.2751579,893.0720534,948.2185999,1009.578059,1082.57406,1146.299144,1200.530572
Exocoetidae,"Atlantic, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,4273,0,1966,1552,0.742524008,0.165221553,0.520158041,0.569091466,0.651492243,0.739625267,0.85184833,0.966262242,0.99977324,12053.24499,0.095700638,9749.375688,10291.7398,11112.50381,12166.4441,13128.88556,13793.02922,13938.04057,2237.455945,0.08245005,1809.212353,1927.017007,2106.623109,2262.896915,2387.660487,2518.188425,2602.019761
Dentex angolensis,"Atlantic, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,3294,0,1592,992,0.719166694,0.163239061,0.526819957,0.569934617,0.627713686,0.703593373,0.822445537,0.957930953,0.998562719,10019.74689,0.104320024,7934.706468,8292.066024,9201.805909,10200.38441,10949.60441,11497.4891,11629.47079,1801.467063,0.065453556,1530.052066,1605.284083,1716.210373,1806.92001,1894.924456,1989.903343,2048.719545
Trachurus lathami,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,2584,0,1766,2940,0.801957148,0.149350056,0.530925928,0.606539018,0.722256577,0.818874525,0.906292464,0.981799749,0.999885449,8507.257245,0.106857458,6394.310987,6943.054338,7911.725801,8675.663431,9300.131487,9813.864034,9930.534822,1705.613939,0.115264549,1315.476902,1422.408215,1565.935187,1690.541064,1867.52694,2076.328278,2161.108531
Pennahia anea,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,5494,0,4466,2915,0.806886725,0.149001331,0.537919015,0.608825762,0.72257448,0.825252134,0.915109427,0.983533431,0.999995111,18563.58799,0.091355343,14396.68373,15552.19737,17412.17888,18864.52648,20040.76457,20906.59145,21098.44087,3744.678179,0.129481974,2822.557667,3057.966364,3411.987125,3697.592026,4097.401557,4740.843101,5239.558295
Mullidae,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,2218,200,1549,1265,0.81435995,0.193022726,0.552805774,0.611099532,0.695741457,0.800410034,0.950234968,1.127412631,1.202282754,8052.107548,0.161125972,5566.553607,6056.319499,7125.414487,8195.729057,9298.054098,10006.53824,10220.93272,1639.328476,0.060150626,1398.192137,1471.40076,1568.714236,1649.953643,1721.869467,1786.194493,1803.169019
Oblada melanura,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,1955,0,983,926,0.694951003,0.13422337,0.535678386,0.57168455,0.623563994,0.681209063,0.764276843,0.89086802,0.987735353,8123.286756,0.11188293,5951.444146,6514.124086,7507.483951,8306.529719,8910.887228,9376.195252,9496.561969,1411.32157,0.039975185,1262.211283,1304.638704,1375.826932,1421.56752,1458.331394,1486.87672,1496.326189
Hemiramphus brasiliensis,"Atlantic, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,3651,0,1225,324,0.676130102,0.154428179,0.54045321,0.559224423,0.598058676,0.650742422,0.740424002,0.925430349,0.988760224,9151.635799,0.090917779,7346.649886,7621.495758,8635.889585,9366.19556,9866.401778,10268.03973,10360.30843,1546.924111,0.064102094,1390.592452,1425.275576,1470.304333,1526.495008,1605.839535,1764.373887,1816.018797
Trisopterus minutus,Mediterranean and Black Sea,0.5,0.9,0,1,0.01,0.4,1950,2012,3290,0,954,813,0.728096214,0.154668035,0.543001852,0.577515717,0.642452546,0.717553543,0.819725037,0.951517224,0.999995883,9043.828518,0.103895056,7220.311486,7545.871665,8358.120547,9128.170587,9914.604739,10481.50303,10617.55726,1646.194327,0.055649014,1434.486031,1492.524038,1586.847789,1647.665712,1717.038399,1796.923916,1837.446113
Sillaginidae,"Pacific, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,2126,100,1488,896,0.914941063,0.288799735,0.543853634,0.604037687,0.705175007,0.902265408,1.16800921,1.453848146,1.572420423,6843.310642,0.265824987,3997.795792,4463.329348,5437.178244,7001.243544,8715.376859,9999.161412,10371.46962,1565.306479,0.042935753,1398.199263,1448.293492,1517.452943,1572.982191,1618.588945,1665.605398,1715.48234
Synodontidae,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,2741,0,1615,2800,0.799226862,0.14518346,0.544042648,0.611575929,0.721237611,0.818621601,0.897264676,0.977022667,0.999781568,10345.06508,0.104271453,7730.771869,8545.218853,9609.915689,10462.90495,11308.3455,11918.17836,12070.59554,2067.013475,0.111060221,1632.128626,1741.603395,1896.709291,2047.992773,2258.952248,2496.882003,2595.186666
Benthosema pterotum,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,13841,0,6660,2623,0.809389926,0.149303862,0.523304343,0.605871216,0.733350764,0.832852023,0.915552017,0.98286248,0.99966557,29081.71818,0.057836896,24805.0664,26091.85746,27948.54249,29343.55002,30577.9541,31349.05131,31535.17836,5884.612431,0.128028787,4121.768909,4665.817496,5392.116034,5957.920491,6454.196313,7166.00696,7576.491712
Clupeoidei,"Pacific, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,48228,1000,32681,2024,0.840266446,0.187669552,0.544848243,0.611431115,0.720055803,0.858332168,0.986987622,1.096586131,1.130197022,110506.7754,0.151088868,76456.32754,86128.64621,98810.4886,110266.1405,124764.3192,140692.101,144799.4578,23213.78386,0.088996367,19589.01556,20369.91911,21647.07379,23029.68131,24698.15203,27262.14159,29805.57002
Mullidae,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,4704,100,4315,3683,1.056786365,0.253387453,0.538593656,0.668885025,0.877882295,1.08870777,1.308434281,1.508019275,1.574955833,11319.15141,0.194659156,6813.099768,7902.383897,9816.934288,11595.81747,13280.66441,14851.23918,15319.26047,2990.481218,0.189749223,2045.547188,2262.084694,2579.791122,2917.053051,3435.22472,4209.310728,4752.501014
Liza klunzingeri,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,11252,0,1516,205,0.652235952,0.155140483,0.53409631,0.549769731,0.573025079,0.623247754,0.723118921,0.901910217,0.992270153,29320.07018,0.083343314,23361.59596,24594.10934,27762.62078,30054.04369,31468.6986,32116.74953,32300.1423,4780.900972,0.072328865,4295.239171,4394.145438,4513.280014,4695.747678,5017.830244,5547.730081,5795.253601
Boops boops,"Atlantic, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,5715,0,2639,1515,0.759482982,0.14691875,0.539569696,0.595392583,0.680551739,0.757298838,0.852323237,0.963706533,0.999649284,15514.60772,0.092846149,12415.72102,13243.43688,14435.74119,15656.52791,16867.75384,17662.87778,17862.68297,2945.770133,0.071374094,2408.442618,2569.294492,2813.321559,2973.306683,3105.934656,3264.255626,3385.906979
Ilisha africana,"Atlantic, Southeast",0.5,0.9,0,1,0.3,0.7,1950,2012,17616,0,8940,2719,0.809776759,0.141224985,0.544643605,0.62262663,0.731748512,0.831585836,0.909094089,0.981339012,0.99994893,46088.78865,0.075565161,37322.35588,39921.28191,43700.07985,46617.92095,49067.95466,50960.83213,51400.88179,9330.407475,0.112679921,6991.707952,7702.648266,8606.04322,9364.930456,10151.76905,11201.15844,11649.255
Maurolicus muelleri,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,46625,0,10,1862,0.792655112,0.1618812,0.512647022,0.5869029,0.70580997,0.817423069,0.906139937,0.982115641,0.999981021,63456.97149,0.02232771,59564.34287,60834.6239,62489.50684,63707.93532,64667.2258,65310.70257,65453.60098,12574.87322,0.151744777,8375.252397,9498.028729,11261.40242,12898.53371,14254.349,15385.84509,16117.47305
Amblygaster sirm,"Pacific, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,35708,0,35708,2569,0.797909585,0.155376199,0.528350497,0.59599926,0.71205184,0.816842173,0.907649788,0.982256762,0.999917332,57829.13806,0.039117273,52234.86422,53890.39239,56124.36687,58122.91165,59800.04756,60911.94003,61153.6785,11535.60589,0.141148384,8067.654315,8928.228402,10417.31659,11682.93744,12876.61013,14268.64883,15157.56728
Pentanemus quinquarius,"Atlantic, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,4882,0,3540,321,0.676166983,0.153602583,0.537291803,0.559687831,0.601608365,0.650053074,0.74905188,0.92778798,0.999269566,18722.61552,0.121031876,13741.24949,14600.80389,17324.54106,19335.59792,20676.88428,21652.21776,21971.84712,3164.903613,0.035014661,2924.970179,2999.721251,3093.895763,3151.799123,3242.704474,3385.775061,3438.31333
Coregonus albula,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,2201,1000,1566,429,0.656832729,0.12827417,0.545734389,0.561688148,0.591794087,0.634641372,0.717395553,0.849533589,0.935904961,9432.209922,0.109965344,6983.647378,7556.606112,8762.372948,9662.050793,10350.86127,10777.63793,10918.5229,1548.846046,0.021479158,1475.471271,1498.666782,1524.649308,1548.340176,1570.739022,1609.887822,1634.007557
Chloroscombrus orqueta,"Pacific, Southeast",0.5,0.9,0,1,0.01,0.4,1950,2012,17999,0,336,873,0.716527189,0.155070667,0.525237664,0.567537591,0.628417802,0.71035583,0.812591,0.931135665,0.999226094,27462.65278,0.088327109,22699.6432,23598.22865,25587.53696,27629.72674,29671.20328,31246.07931,31567.53265,4919.434353,0.070390803,4140.243741,4364.703759,4676.619,4926.291068,5208.862589,5491.487165,5708.459773
